iter	Passed	Remaining
417	1902	14025
418	1906	14018
419	1909	14002
420	1912	13985
421	1914	13967
422	1918	13954
423	1921	13941
424	1925	13928
425	1928	13913
426	1931	13897
427	1936	13900
428	1939	13887
429	1943	13872
430	1946	13857
431	1953	13874
432	1956	13859
433	1959	13842
434	1963	13836
435	1967	13827
436	1970	13810
437	1973	13795
438	1976	13780
439	1980	13770
440	1983	13761
441	1986	13745
442	1989	13728
443	1995	13735
444	1999	13729
445	2002	13712
446	2005	13697
447	2008	13685
448	2011	13669
449	2014	13657
450	2017	13640
451	2020	13623
452	2022	13606
453	2026	13595
454	2030	13585
455	2032	13570
456	2035	13554
457	2038	13538
458	2042	13529
459	2046	13523
460	2049	13510
461	2052	13495
462	2056	13486
463	2059	13477
464	2063	13471
465	2066	13455
466	2069	13440
467	2073	13430
468	2077	13425
469	2080	13410
470	2082	13394
471	2085	13379
472	2089	13370
473	2092	13355
474	2094	13340
475	2097	13325
476	2101	13316
477	2104	13306
478	2107	13292
479	2110	13278
480	2113	13263
481	2117	13255
482	2120	13246
483	2123	13231
484	2126	13216
485	2128	13201
486	2131	13189
487	2135	13179
488	2138	13164
489	2140	13149
490	2143	13134
491	2146	13125
492	2152	13126
493	2156	13122
494	2160	13116
495	2167	13125
496	2169	13111
497	2172	13096
498	2175	13081
499	2178	13072
500	2182	13062
501	2185	13050
502	2187	13036
503	2195	13053
504	2204	13076
505	2212	13092
506	2217	13090
507	2222	13091
508	2226	13085
509	2230	13077
510	2233	13063
511	2236	13050
512	2240	13046
513	2244	13036
514	2246	13023
515	2249	13010
516	2253	13000
517	2257	12994
518	2261	12990
519	2265	12980
520	2268	12969
521	2273	12969
522	2277	12963
523	2280	12952
524	2283	12940
525	2296	12986
526	2301	12981
527	2308	12996
528	2313	12991
529	2322	13013
530	2336	13061
531	2341	13065
532	2356	13117
533	2360	13113
534	2364	13105
535	2372	13117
536	2377	13120
537	2387	13146
538	2392	13140
539	2417	13252
540	2422	13250
541	2426	13244
542	2433	13249
543	2438	13249
544	2442	13242
545	2456	13288
546	2479	13387
547	2486	13394
548	2491	13391
549	2496	13391
550	2502	13395
551	2506	13388
552	2511	13381
553	2514	13373
554	2521	13380
555	2524	13368
556	2527	13355
557	2534	13363
558	2538	13358
559	2543	13351
560	2556	13395
561	2559	13379
562	2561	13363
563	2565	13357
564	2568	13340
565	2570	13324
566	2572	13307
567	2574	13290
568	2577	13274
569	2580	13265
570	2583	13250
571	2585	13233
572	2587	13217
573	2589	13200
574	2592	13186
575	2595	13173
576	2598	13162
577	2600	13146
578	2602	13130
579	2605	13115
580	2607	13099
581	2609	13083
582	2613	13078
583	2615	13062
584	2618	13046
585	2620	13031
586	2622	13015
587	2624	12999
588	2628	12992
589	2631	12977
590	2633	12961
591	2636	12951
592	2639	12939
593	2645	12940
594	2648	12929
595	2651	12920
596	2655	12910
597	2660	12912
598	2663	12900
599	2665	12885
600	2668	12869
601	2670	12856
602	2672	12840
603	2676	12834
604	2679	12819
605	2681	12804
606	2683	12789
607	2685	12774
608	2687	12758
609	2691	12752
610	2694	12739
611	2696	12724
612	2698	12709
613	2700	12695
614	2703	12680
615	2706	12672
616	2709	12658
617	2711	12644
618	2713	12629
619	2715	12614
620	2717	12600
621	2720	12585
622	2724	12580
623	2726	12566
624	2728	12551
625	2730	12537
626	2733	12523
627	2735	12509
628	2739	12504
629	2741	12490
630	2744	12476
631	2746	12462
632	2748	12448
633	2750	12434
634	2755	12430
635	2757	12416
636	2759	12402
637	2761	12388
638	2763	12374
639	2766	12360
640	2770	12356
641	2772	12342
642	2774	12329
643	2776	12315
644	2779	12301
645	2781	12287
646	2786	12287
647	2789	12276
648	2791	12264
649	2794	12252
650	2797	12242
651	2802	12241
652	2805	12230
653	2831	12321
654	2850	12380
655	2853	12369
656	2855	12357
657	2859	12350
658	2863	12343
659	2869	12346
660	2871	12332
661	2875	12328
662	2878	12317
663	2883	12316
664	2886	12304
665	2888	12292
666	2891	12280
667	2893	12267
668	2896	12257
669	2899	12245
670	2901	12232
671	2903	12219
672	2905	12206
673	2908	12193
674	2910	12179
675	2914	12174
676	2916	12161
677	2918	12148
678	2920	12134
679	2922	12121
680	2925	12108
681	2929	12103
682	2931	12091
683	2933	12078
