iter	Passed	Remaining
404	6598	9693
405	6610	9671
406	6626	9654
407	6640	9634
408	6650	9610
409	6662	9586
410	6673	9563
411	6683	9538
412	6694	9515
413	6706	9492
414	6716	9468
415	6729	9446
416	6741	9425
417	6753	9403
418	6765	9381
419	6777	9359
420	6788	9336
421	6800	9314
422	6815	9296
423	6828	9276
424	6845	9261
425	6857	9240
426	6871	9220
427	6885	9202
428	6902	9186
429	6915	9167
430	6929	9148
431	6945	9132
432	6959	9113
433	6972	9093
434	6986	9074
435	6997	9051
436	7009	9030
437	7021	9008
438	7036	8991
439	7048	8970
440	7061	8950
441	7072	8928
442	7084	8907
443	7098	8889
444	7109	8867
445	7121	8846
446	7133	8825
447	7145	8804
448	7157	8783
449	7169	8762
450	7180	8740
451	7190	8717
452	7202	8697
453	7212	8673
454	7223	8651
455	7235	8631
456	7250	8614
457	7263	8595
458	7275	8575
459	7287	8555
460	7301	8536
461	7312	8515
462	7325	8495
463	7337	8475
464	7349	8455
465	7361	8436
466	7372	8414
467	7386	8396
468	7399	8377
469	7410	8356
470	7422	8336
471	7437	8320
472	7452	8302
473	7467	8286
474	7481	8269
475	7496	8252
476	7509	8234
477	7521	8213
478	7536	8197
479	7551	8180
480	7564	8161
481	7577	8142
482	7588	8123
483	7600	8103
484	7612	8083
485	7625	8064
486	7637	8045
487	7649	8025
488	7660	8005
489	7672	7985
490	7684	7965
491	7695	7945
492	7707	7926
493	7719	7907
494	7732	7888
495	7743	7868
496	7755	7849
497	7767	7829
498	7779	7810
499	7790	7790
500	7801	7770
501	7811	7749
502	7823	7729
503	7833	7709
504	7845	7689
505	7859	7672
506	7870	7653
507	7884	7635
508	7895	7616
509	7909	7599
510	7920	7579
511	7932	7560
512	7945	7543
513	7959	7526
514	7971	7507
515	7985	7489
516	7996	7471
517	8010	7453
518	8022	7435
519	8041	7423
520	8060	7410
521	8077	7396
522	8094	7382
523	8110	7367
524	8125	7351
525	8144	7339
526	8159	7323
527	8173	7306
528	8186	7288
529	8201	7272
530	8215	7255
531	8227	7237
532	8241	7221
533	8255	7204
534	8268	7186
535	8284	7171
536	8297	7154
537	8310	7136
538	8321	7117
539	8334	7099
540	8347	7081
541	8356	7061
542	8369	7043
543	8382	7026
544	8398	7011
545	8409	6992
546	8423	6975
547	8434	6956
548	8447	6939
549	8459	6921
550	8471	6903
551	8487	6888
552	8504	6874
553	8526	6864
554	8540	6848
555	8555	6832
556	8572	6818
557	8587	6801
558	8598	6783
559	8610	6765
560	8623	6748
561	8638	6732
562	8650	6714
563	8662	6696
564	8678	6681
565	8692	6664
566	8704	6647
567	8721	6633
568	8734	6615
569	8748	6599
570	8763	6583
571	8778	6568
572	8791	6551
573	8806	6535
574	8816	6516
575	8829	6499
576	8842	6482
577	8853	6463
578	8867	6447
579	8879	6429
580	8892	6412
581	8904	6395
582	8916	6377
583	8929	6360
584	8942	6344
585	8955	6327
586	8967	6309
587	8982	6293
588	8994	6276
589	9007	6259
590	9019	6241
591	9036	6228
592	9053	6213
593	9070	6199
594	9084	6183
595	9102	6170
596	9116	6153
597	9129	6137
598	9143	6121
599	9160	6107
600	9174	6090
601	9188	6074
602	9199	6056
603	9209	6038
604	9223	6021
605	9236	6005
606	9250	5989
607	9263	5972
608	9275	5954
609	9286	5937
610	9300	5920
611	9312	5904
612	9324	5886
613	9337	5869
614	9350	5853
615	9363	5837
616	9375	5819
617	9388	5803
618	9403	5787
619	9416	5771
620	9427	5753
621	9441	5737
622	9454	5721
623	9467	5704
624	9482	5689
625	9498	5674
626	9514	5660
627	9528	5644
628	9543	5628
629	9557	5613
630	9571	5597
631	9584	5580
632	9596	5564
633	9609	5547
634	9627	5533
635	9642	5518
636	9656	5502
637	9669	5486
638	9679	5468
639	9692	5451
640	9705	5435
641	9718	5419
642	9734	5404
643	9752	5391
644	9769	5376
645	9781	5360
646	9794	5343
647	9806	5326
648	9819	5310
649	9830	5293
650	9843	5277
651	9854	5260
652	9866	5242
653	9880	5227
654	9893	5211
655	9905	5194
656	9918	5178
657	9932	5162
658	9943	5145
659	9956	5129
660	9969	5113
661	9984	5097
662	9996	5081
663	10008	5064
664	10020	5048
665	10035	5032
666	10046	5015
667	10060	4999
668	10073	4984
669	10087	4968
670	10100	4952
671	10113	4936
672	10129	4921
673	10144	4906
674	10155	4889
675	10169	4874
676	10181	4857
677	10198	4843
678	10213	4828
679	10227	4813
680	10242	4797
681	10254	4781
682	10269	4766
683	10283	4751
684	10298	4735
685	10310	4719
686	10323	4703
687	10340	4689
688	10357	4674
689	10370	4659
690	10383	4643
691	10395	4626
692	10406	4609
693	10417	4593
694	10430	4577
695	10444	4562
696	10455	4545
697	10467	4528
698	10480	4512
699	10491	4496
700	10503	4480
701	10516	4464
702	10528	4448
703	10542	4432
704	10554	4416
705	10567	4400
706	10578	4384
707	10592	4368
708	10604	4352
709	10616	4336
710	10627	4319
711	10639	4303
712	10653	4288
713	10669	4273
714	10686	4259
715	10700	4244
716	10715	4229
717	10730	4214
718	10743	4198
719	10757	4183
720	10769	4167
721	10785	4152
722	10799	4137
723	10812	4121
724	10828	4107
725	10841	4091
726	10852	4075
727	10863	4058
728	10875	4042
729	10886	4026
730	10898	4010
731	10910	3994
732	10922	3978
733	10934	3962
734	10948	3947
735	10961	3931
736	10973	3915
737	10984	3899
738	10999	3884
739	11016	3870
740	11036	3857
741	11061	3846
742	11080	3832
743	11095	3817
744	11119	3806
745	11131	3790
746	11146	3775
747	11160	3759
748	11174	3744
749	11190	3730
750	11205	3715
751	11219	3700
752	11235	3685
753	11249	3670
754	11263	3655
755	11277	3639
756	11293	3625
757	11307	3610
758	11323	3595
759	11338	3580
760	11352	3565
761	11369	3551
762	11381	3535
763	11393	3519
764	11403	3503
765	11416	3487
766	11431	3472
767	11442	3456
768	11453	3440
769	11464	3424
770	11476	3408
771	11490	3393
772	11505	3378
773	11518	3363
774	11532	3348
775	11547	3333
776	11560	3317
777	11576	3303
778	11589	3287
779	11602	3272
780	11616	3257
781	11629	3242
782	11641	3226
783	11653	3210
784	11667	3195
785	11678	3179
786	11689	3163
787	11700	3147
788	11711	3132
789	11723	3116
790	11735	3100
791	11749	3085
792	11759	3069
793	11772	3054
794	11786	3039
795	11797	3023
796	11809	3007
797	11820	2992
798	11830	2976
799	11841	2960
800	11851	2944
801	11864	2929
802	11877	2913
803	11891	2898
804	11905	2884
805	11913	2867
806	11925	2852
807	11939	2837
808	11951	2821
809	11963	2806
810	11975	2790
811	11987	2775
812	11996	2759
813	12007	2743
814	12019	2728
815	12031	2712
816	12042	2697
817	12054	2682
818	12065	2666
819	12079	2651
820	12093	2636
821	12105	2621
822	12118	2606
823	12128	2590
824	12139	2575
825	12148	2559
826	12158	2543
827	12170	2528
828	12187	2513
829	12196	2498
830	12208	2482
831	12220	2467
832	12231	2452
833	12241	2436
834	12253	2421
835	12265	2406
836	12276	2390
837	12287	2375
838	12300	2360
839	12310	2344
840	12321	2329
841	12335	2314
842	12350	2300
843	12367	2285
844	12383	2271
845	12395	2256
846	12407	2241
847	12423	2226
848	12435	2211
849	12450	2197
850	12463	2182
851	12474	2166
852	12487	2152
853	12499	2136
854	12511	2121
855	12521	2106
856	12531	2090
857	12542	2075
858	12551	2060
859	12564	2045
860	12576	2030
861	12586	2015
862	12599	2000
863	12612	1985
864	12623	1970
865	12635	1955
866	12649	1940
867	12663	1925
868	12677	1911
869	12688	1895
870	12700	1880
871	12711	1865
872	12722	1850
873	12736	1836
874	12750	1821
875	12763	1806
876	12775	1791
877	12790	1777
878	12807	1763
879	12823	1748
880	12836	1733
881	12848	1718
882	12862	1704
883	12876	1689
884	12893	1675
885	12905	1660
886	12916	1645
887	12932	1631
888	12945	1616
889	12961	1601
890	12977	1587
891	12986	1572
892	12999	1557
893	13012	1542
894	13024	1527
895	13035	1513
896	13047	1498
897	13058	1483
898	13070	1468
899	13081	1453
900	13094	1438
901	13106	1423
902	13119	1409
903	13130	1394
904	13142	1379
905	13155	1364
906	13165	1349
907	13177	1335
908	13189	1320
909	13200	1305
910	13213	1290
911	13226	1276
912	13239	1261
913	13254	1247
914	13266	1232
915	13279	1217
916	13293	1203
917	13305	1188
918	13317	1173
919	13328	1158
920	13344	1144
921	13359	1130
922	13372	1115
923	13386	1101
924	13404	1086
925	13422	1072
926	13437	1058
927	13451	1043
928	13465	1029
929	13477	1014
930	13489	999
931	13501	985
932	13517	970
933	13530	956
934	13540	941
935	13554	926
936	13565	912
937	13577	897
938	13589	882
939	13600	868
940	13615	853
941	13631	839
942	13644	824
943	13655	810
944	13667	795
945	13680	780
946	13692	766
947	13704	751
948	13717	737
949	13729	722
950	13739	707
951	13750	693
952	13761	678
953	13771	664
954	13783	649
955	13795	634
956	13807	620
957	13819	605
958	13835	591
959	13846	576
960	13856	562
961	13867	547
962	13878	533
963	13890	518
964	13901	504
965	13912	489
966	13925	475
967	13936	460
968	13948	446
969	13961	431
970	13974	417
971	13985	402
972	13996	388
973	14008	373
974	14019	359
975	14030	345
976	14042	330
977	14053	316
978	14065	301
979	14075	287
980	14087	272
981	14099	258
982	14111	244
983	14124	229
984	14133	215
985	14144	200
986	14155	186
987	14167	172
988	14177	157
989	14186	143
990	14198	128
991	14210	114
992	14220	100
993	14235	85
994	14246	71
995	14258	57
996	14273	42
997	14286	28
998	14299	14
999	14312	0
