iter	Passed	Remaining
0	17	5106
1	33	5034
2	50	4950
3	65	4852
4	83	4912
5	98	4833
6	115	4824
7	131	4816
8	147	4777
9	164	4771
10	181	4766
11	197	4737
12	213	4708
13	229	4693
14	245	4672
15	263	4668
16	280	4663
17	298	4673
18	318	4703
19	336	4710
20	353	4703
21	370	4685
22	387	4665
23	403	4640
24	419	4616
25	436	4596
26	452	4579
27	469	4564
28	488	4562
29	527	4749
30	574	4983
31	598	5012
32	615	4983
33	633	4956
34	650	4927
35	667	4896
36	685	4873
37	703	4851
38	720	4821
39	721	4691
40	738	4663
41	753	4629
42	768	4594
43	784	4564
44	800	4535
45	815	4503
46	817	4400
47	833	4375
48	849	4349
49	864	4324
50	880	4299
51	896	4273
52	912	4252
53	927	4226
54	943	4203
55	959	4179
56	974	4153
57	989	4130
58	1004	4104
59	1021	4084
60	1036	4061
61	1052	4041
62	1068	4018
63	1083	3994
64	1098	3970
65	1113	3949
66	1129	3928
67	1145	3908
68	1161	3888
69	1176	3865
70	1190	3840
71	1206	3821
72	1222	3802
73	1238	3782
74	1254	3762
75	1262	3720
76	1276	3696
77	1292	3677
78	1308	3660
79	1324	3641
80	1338	3619
81	1353	3598
82	1368	3577
83	1383	3558
84	1398	3537
85	1414	3519
86	1428	3498
87	1443	3478
88	1459	3459
89	1475	3441
90	1491	3426
91	1507	3409
92	1523	3390
93	1537	3369
94	1552	3349
95	1567	3331
96	1582	3312
97	1598	3294
98	1613	3276
99	1628	3257
100	1644	3241
101	1660	3222
102	1675	3204
103	1690	3186
104	1706	3169
105	1722	3152
106	1739	3137
107	1755	3120
108	1771	3104
109	1787	3087
110	1803	3070
111	1818	3052
112	1834	3036
113	1850	3018
114	1866	3001
115	1882	2986
116	1897	2968
117	1914	2952
118	1929	2935
119	1944	2916
120	1958	2897
121	1972	2878
122	1986	2859
123	2001	2840
124	2015	2821
125	2029	2803
126	2044	2784
127	2058	2765
128	2072	2746
129	2086	2728
130	2099	2708
131	2113	2689
132	2127	2671
133	2142	2653
134	2156	2635
135	2170	2617
136	2183	2598
137	2197	2579
138	2210	2560
139	2224	2542
140	2237	2523
141	2252	2506
142	2266	2488
143	2279	2469
144	2292	2450
145	2305	2431
146	2318	2413
147	2332	2395
148	2345	2377
149	2359	2359
150	2373	2342
151	2388	2325
152	2401	2307
153	2414	2289
154	2428	2271
155	2442	2254
156	2456	2237
157	2469	2219
158	2482	2201
159	2495	2183
160	2508	2165
161	2521	2147
162	2534	2130
163	2547	2112
164	2560	2094
165	2573	2077
166	2588	2061
167	2601	2044
168	2615	2027
169	2627	2009
170	2641	1993
171	2655	1976
172	2669	1959
173	2682	1942
174	2696	1925
175	2709	1908
176	2722	1891
177	2736	1875
178	2749	1858
179	2763	1842
180	2777	1826
181	2792	1810
182	2806	1794
183	2821	1778
184	2835	1762
185	2850	1746
186	2865	1731
187	2879	1715
188	2893	1699
189	2907	1683
190	2922	1667
191	2935	1651
192	2950	1635
193	2965	1620
194	2979	1604
195	2996	1589
196	3011	1574
197	3025	1558
198	3040	1543
199	3056	1528
200	3070	1512
201	3083	1496
202	3098	1480
203	3112	1464
204	3127	1449
205	3140	1433
206	3154	1417
207	3168	1401
208	3183	1386
209	3197	1370
210	3212	1354
211	3226	1339
212	3239	1323
213	3254	1307
214	3268	1292
215	3282	1276
216	3297	1261
217	3311	1245
218	3324	1229
219	3338	1214
220	3351	1198
221	3365	1182
222	3379	1166
223	3393	1151
224	3406	1135
225	3420	1119
226	3433	1104
227	3445	1088
228	3459	1072
229	3472	1056
230	3486	1041
231	3499	1025
232	3512	1009
233	3525	994
234	3539	978
235	3552	963
236	3565	947
237	3578	932
238	3591	916
239	3604	901
240	3617	885
241	3630	870
242	3643	854
243	3657	839
244	3670	823
245	3683	808
246	3696	793
247	3709	777
248	3722	762
249	3735	747
250	3748	731
251	3761	716
252	3775	701
253	3789	686
254	3803	671
255	3817	656
256	3832	641
257	3847	626
258	3861	611
259	3876	596
260	3890	581
261	3904	566
262	3918	551
263	3932	536
264	3946	521
265	3959	506
266	3974	491
267	3989	476
268	4003	461
269	4018	446
270	4032	431
271	4047	416
272	4061	401
273	4075	386
274	4089	371
275	4103	356
276	4118	341
277	4133	327
278	4147	312
279	4161	297
280	4175	282
281	4190	267
282	4204	252
283	4218	237
284	4233	222
285	4248	207
286	4264	193
287	4279	178
288	4293	163
289	4308	148
290	4322	133
291	4336	118
292	4350	103
293	4365	89
294	4379	74
295	4393	59
296	4407	44
297	4423	29
298	4438	14
299	4453	0
